time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Fri Jun  4 13:11:02 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_13_11_02_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 13:12:26 2021;carol-raspberry1;Classification_ECC_OFF;21;0;0;482.29562; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;29;/tmp/parserSDC/2021_06_04_13_12_26_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 13:23:05 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_13_23_05_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 13:24:30 2021;carol-raspberry1;Classification_ECC_OFF;56;0;0;1426.326995; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;108;/tmp/parserSDC/2021_06_04_13_24_30_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 13:54:16 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_13_54_16_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 13:55:41 2021;carol-raspberry1;Classification_ECC_OFF;42;0;0;758.620507; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;76;/tmp/parserSDC/2021_06_04_13_55_41_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:11:05 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_14_11_05_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:12:29 2021;carol-raspberry1;Classification_ECC_OFF;26;0;0;395.106411; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;62;/tmp/parserSDC/2021_06_04_14_12_29_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:21:00 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_14_21_00_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:22:30 2021;carol-raspberry1;Classification_ECC_OFF;6;0;0;128.943563; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;6;/tmp/parserSDC/2021_06_04_14_22_30_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:25:39 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_14_25_39_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 14:27:04 2021;carol-raspberry1;Classification_ECC_OFF;144;0;0;1647.24614; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;188;/tmp/parserSDC/2021_06_04_14_27_04_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 15:01:26 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_15_01_26_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 15:02:52 2021;carol-raspberry1;Classification_ECC_OFF;27;0;0;772.833889; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;42;/tmp/parserSDC/2021_06_04_15_02_52_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 15:19:14 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_15_19_14_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 15:20:39 2021;carol-raspberry1;Classification_ECC_OFF;20;0;0;511.798616; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;37;/tmp/parserSDC/2021_06_04_15_20_39_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 15:31:46 2021;carol-raspberry1;Classification_ECC_OFF;131;0;0;2595.926085; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;283;/tmp/parserSDC/2021_06_04_15_31_46_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 16:26:23 2021;carol-raspberry1;Classification_ECC_OFF;96;1;1;1113.051097; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;272;/tmp/parserSDC/2021_06_04_16_26_23_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 16:49:43 2021;carol-raspberry1;Classification_ECC_OFF;76;0;0;2088.224558; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;139;/tmp/parserSDC/2021_06_04_16_49_43_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 17:30:04 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_17_30_04_Classification_ECC_OFF_carol-raspberry1.log
